id	filename	md5	size	state
019a92a0-da97-46ae-bbff-998791d48ef4	507f72e3b4ec9b66c2aa2df6847b676a.bam	507f72e3b4ec9b66c2aa2df6847b676a	8481015087	validated
02a7a7c5-a845-4126-a1cb-6f963d51fe99	9c1c2c25d6ae8e761d5ea77449049da5.bam	9c1c2c25d6ae8e761d5ea77449049da5	5648138352	validated
032d6484-7028-4874-b2e1-d6861a4a2e50	2f44b1c5582c57869a24b0819b2e432f.bam	2f44b1c5582c57869a24b0819b2e432f	6274112891	validated
03d5e99c-4328-400f-8549-a1529bb9b767	7fc7b784a03139be138dbd6e1045ea3a.bam	7fc7b784a03139be138dbd6e1045ea3a	6305483450	validated
04186502-847e-4792-8e48-68607df0c297	52b85c29a79889cdfc9e85a93d0b8488.bam	52b85c29a79889cdfc9e85a93d0b8488	7119986351	validated
04b15fa7-ca4f-4e70-b08c-724f7c9dabc1	b647a486380b553f3b21e3ccf61bc045.bam	b647a486380b553f3b21e3ccf61bc045	6770958229	validated
0585d1c6-b17c-4ee0-ab8e-4ad80e77665c	1aca793b484cce9e036cd73805518c52.bam	1aca793b484cce9e036cd73805518c52	10475092353	validated
05da30f5-d109-456d-b0bf-f399e2a0bc38	4f1ec5cc8afe2715c5a81300c719f1b8.bam	4f1ec5cc8afe2715c5a81300c719f1b8	6941281596	validated
0654a2d0-725b-4753-93bb-b5de0a998fd5	159ae8345cc258be5ca3704b351803ca.bam	159ae8345cc258be5ca3704b351803ca	5748877120	validated
069c366d-bbc6-4867-a4b4-8cd670d5fc72	7adce93bb9674c49937e679c7f5ad25e.bam	7adce93bb9674c49937e679c7f5ad25e	5133564108	validated
071c75c7-2fff-4192-8f6c-d13d1fd1dab3	93b8cf5a39691ec2eee1ac8f88f529bb.bam	93b8cf5a39691ec2eee1ac8f88f529bb	6834935742	validated
078a29cb-8f53-4ed4-af75-cc419e3192f6	79e44cc82aa41efa20180af8799e84db.bam	79e44cc82aa41efa20180af8799e84db	6289324929	validated
07a564fd-c754-4421-aa50-71bf38f82fc8	8cd97071fec03adc698bf21ad89f8974.bam	8cd97071fec03adc698bf21ad89f8974	6151311485	validated
08d8b0c4-b828-4597-879d-d5af5debf1de	bd5bc084ece37e8895a3b26be89cef0d.bam	bd5bc084ece37e8895a3b26be89cef0d	5786933391	validated
09c5b57f-fbe2-4012-98b8-81b557bf475d	476722ef7212f3450a7900a4305584b1.bam	476722ef7212f3450a7900a4305584b1	14408929157	validated
0a3278c1-6138-4174-9165-3b8686682bb4	17bc8b42364bc6bf427173e924a59ee6.bam	17bc8b42364bc6bf427173e924a59ee6	6468719290	validated
0adc39fa-3a79-421a-8595-fe85c9c8db9b	61fad8a696c213fe2d7982eef0132ffa.bam	61fad8a696c213fe2d7982eef0132ffa	10112036316	validated
0bdcf7e0-63cb-4dde-b1c8-9c48a3db92d0	b8ec3f5548c89bc92741d4b1c434ed39.bam	b8ec3f5548c89bc92741d4b1c434ed39	6264416638	validated
0bf716dd-34d3-4fa3-b78a-b9510866a945	c30eb27c3ce758692ec7ebb7c9986785.bam	c30eb27c3ce758692ec7ebb7c9986785	3244894495	validated
0c201704-dce9-418b-a832-433dbdfbcf89	6e28237b999dee25a3ff10d5d43698af.bam	6e28237b999dee25a3ff10d5d43698af	4871866464	validated
0c30da39-4d79-4f94-8622-a02e684d55a3	264b07194d1afca757ac39d35e6bf13f.bam	264b07194d1afca757ac39d35e6bf13f	5070603171	validated
0c45c6a3-1a56-434b-8b64-608df48191b5	4dcc76a54e1db170b128508b16f7e430.bam	4dcc76a54e1db170b128508b16f7e430	6025603570	validated
0e7864af-6423-4578-af67-8680bf562584	53815eb237c586e942efd21bb5c6938a.bam	53815eb237c586e942efd21bb5c6938a	4772173201	validated
0eaebf3a-3cc2-486f-b00c-b4ec332d70ce	0ab01ad48e211166b14d977c31507bf5.bam	0ab01ad48e211166b14d977c31507bf5	6397257075	validated
0eea6b3a-439e-40f8-8a5b-65465d519e98	1a65ae47cf8fbe89b3f8f0b6fb55b08b.bam	1a65ae47cf8fbe89b3f8f0b6fb55b08b	6545717950	validated
0f0c32bf-8412-4adb-9bdf-c863ceecad25	d551e4b369dcd7336507a8266c3cede9.bam	d551e4b369dcd7336507a8266c3cede9	10074084178	validated
0f8dec62-8464-4d6c-a085-7b2a3d58d183	5c0ea47cd4b2fba7e66a85e0e858a90b.bam	5c0ea47cd4b2fba7e66a85e0e858a90b	5515828395	validated
0fcf3875-e6af-4b1a-855a-c03ef982e579	b881197dde010111afb847267298f241.bam	b881197dde010111afb847267298f241	6096331563	validated
11977e73-6659-498f-83ec-8bbaa33b8fd3	4024a5713b90caf520bd1488b3a55a6c.bam	4024a5713b90caf520bd1488b3a55a6c	6795326516	validated
1224b577-3add-4534-8adc-041e026a2955	76cd47711b8a6d6edc3288d9c7a81b7a.bam	76cd47711b8a6d6edc3288d9c7a81b7a	4416435088	validated
126a3dd6-63b6-4a1d-b877-8bdb6227dfdd	10731675c2a0ea7a427602c1e8f7db2d.bam	10731675c2a0ea7a427602c1e8f7db2d	6907836759	validated
12e73994-ddb7-48e6-a732-dc7bb3131bd0	36d7f60729fc67b42c1bb2635d91e90b.bam	36d7f60729fc67b42c1bb2635d91e90b	7115722915	validated
14826ceb-d754-4790-b89d-810e54802fd8	a693c54fba5541a1ddfeeaeeaa9860cb.bam	a693c54fba5541a1ddfeeaeeaa9860cb	9088006047	validated
154b74ae-9ca9-466d-8ddf-b44474b356ea	f66e2ed84d7b6760309f3cbb6304823b.bam	f66e2ed84d7b6760309f3cbb6304823b	11835422828	validated
